,bssid,dev,freq,node,signal,ssid,ap
343,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc6,-54.00 dBm,TUB-intern,nuc11
344,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc6,-43.00 dBm,TUB-intern,nuc11
345,a0:cf:5b:3f:87:4d,wlan0,5660,nuc6,-62.00 dBm,TUB-intern,nuc11
346,a0:cf:5b:3f:91:7d,wlan0,5260,nuc6,-77.00 dBm,TUB-intern,nuc11
347,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc6,-58.00 dBm,eduroam,nuc11
348,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc6,-42.00 dBm,eduroam,nuc11
349,a0:cf:5b:3f:87:4c,wlan0,5660,nuc6,-66.00 dBm,eduroam,nuc11
350,64:66:b3:ce:21:db,wlan0,2437,nuc10,-73.00 dBm,68-test,nuc12
351,90:72:40:10:43:8a,wlan1,2437,nuc10,-81.00 dBm,ABTC,nuc12
352,56:8b:3c:d0:48:b6,wlan1,5200,nuc10,-78.00 dBm,Intelligent-Mesh-5GHz,nuc12
353,56:8b:3c:d0:48:b6,wlan0,5200,nuc10,-51.00 dBm,Intelligent-Mesh-5GHz,nuc12
354,a0:cf:5b:fa:41:de,wlan1,5660,nuc10,-80.00 dBm,TUB-Guest,nuc12
355,a0:cf:5b:3f:bf:ce,wlan0,5240,nuc10,-76.00 dBm,TUB-Guest,nuc12
356,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc10,-55.00 dBm,TUB-Guest,nuc12
357,a0:cf:5b:00:1d:8e,wlan0,5500,nuc10,-59.00 dBm,TUB-Guest,nuc12
358,a0:cf:5b:fa:41:de,wlan0,5660,nuc10,-72.00 dBm,TUB-Guest,nuc12
359,a0:cf:5b:fa:41:dd,wlan1,5660,nuc10,-81.00 dBm,TUB-intern,nuc12
360,a0:cf:5b:3f:bf:cd,wlan0,5240,nuc10,-76.00 dBm,TUB-intern,nuc12
361,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc10,-66.00 dBm,TUB-intern,nuc12
362,a0:cf:5b:00:1d:8d,wlan0,5500,nuc10,-75.00 dBm,TUB-intern,nuc12
363,a0:cf:5b:fa:41:dd,wlan0,5660,nuc10,-72.00 dBm,TUB-intern,nuc12
364,a0:cf:5b:fa:41:dc,wlan1,5660,nuc10,-80.00 dBm,eduroam,nuc12
365,a0:cf:5b:3f:bf:cc,wlan0,5240,nuc10,-75.00 dBm,eduroam,nuc12
366,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc10,-66.00 dBm,eduroam,nuc12
367,a0:cf:5b:00:1d:8c,wlan0,5500,nuc10,-74.00 dBm,eduroam,nuc12
368,a0:cf:5b:fa:41:dc,wlan0,5660,nuc10,-72.00 dBm,eduroam,nuc12
369,00:1b:b1:5d:b1:5a,wlan1,2462,nuc10,-73.00 dBm,eduroam.bowl.tu-berlin.de,nuc12
370,00:1b:b1:5d:b1:5a,wlan0,2462,nuc10,-75.00 dBm,eduroam.bowl.tu-berlin.de,nuc12
371,00:0b:6b:db:08:a0,wlan0,2462,nuc10,-77.00 dBm,eduroam.bowl.tu-berlin.de,nuc12
372,02:71:d9:74:88:d3,wlan1,2412,nuc10,-61.00 dBm,twist-test,nuc12
373,64:66:b3:ce:21:dc,wlan1,5240,nuc11,-89.00 dBm,68,nuc12
374,64:66:b3:ce:21:db,wlan1,2437,nuc11,-71.00 dBm,68-test,nuc12
375,64:66:b3:ce:21:db,wlan0,2437,nuc11,-66.00 dBm,68-test,nuc12
376,56:8b:3c:d0:48:b6,wlan1,5200,nuc11,-88.00 dBm,Intelligent-Mesh-5GHz,nuc12
377,56:8b:3c:d0:48:b6,wlan0,5200,nuc11,-83.00 dBm,Intelligent-Mesh-5GHz,nuc12
378,a0:cf:5b:3f:87:4e,wlan0,5660,nuc11,-76.00 dBm,TUB-Guest,nuc12
379,a0:cf:5b:3f:87:4d,wlan1,5660,nuc11,-78.00 dBm,TUB-intern,nuc12
380,a0:cf:5b:3f:87:4d,wlan0,5660,nuc11,-75.00 dBm,TUB-intern,nuc12
381,a0:cf:5b:3f:87:4c,wlan1,5660,nuc11,-66.00 dBm,eduroam,nuc12
382,a0:cf:5b:3f:87:4c,wlan0,5660,nuc11,-76.00 dBm,eduroam,nuc12
383,a0:cf:5b:9f:68:63,wlan0,2412,nuc11,-57.00 dBm,eduroam,nuc12
384,64:66:b3:ce:21:dc,wlan1,5240,nuc13,-52.00 dBm,68,nuc12
385,64:66:b3:ce:21:dc,wlan0,5240,nuc13,-62.00 dBm,68,nuc12
386,64:66:b3:ce:21:db,wlan1,2437,nuc13,-46.00 dBm,68-test,nuc12
387,64:66:b3:ce:21:db,wlan0,2437,nuc13,-43.00 dBm,68-test,nuc12
388,28:f0:76:71:45:92,wlan0,2462,nuc13,-78.00 dBm,MyNet,nuc12
389,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc13,-80.00 dBm,TUB-Guest,nuc12
390,a0:cf:5b:3f:87:4e,wlan1,5660,nuc13,-69.00 dBm,TUB-Guest,nuc12
391,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc13,-76.00 dBm,TUB-Guest,nuc12
392,a0:cf:5b:3f:87:4e,wlan0,5660,nuc13,-51.00 dBm,TUB-Guest,nuc12
393,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc13,-79.00 dBm,TUB-intern,nuc12
394,a0:cf:5b:3f:87:4d,wlan1,5660,nuc13,-68.00 dBm,TUB-intern,nuc12
395,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc13,-59.00 dBm,TUB-intern,nuc12
396,a0:cf:5b:3f:87:4d,wlan0,5660,nuc13,-63.00 dBm,TUB-intern,nuc12
397,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc13,-79.00 dBm,eduroam,nuc12
398,a0:cf:5b:3f:87:4c,wlan1,5660,nuc13,-68.00 dBm,eduroam,nuc12
